Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Public,3988,C04,B05,21,3989.75,,3979.75,0.46,0.8,0.57,4.09,0.003,0.31,0.11,33,0.03,247.95,0.69,111,30,40,6.65,15.9,26.74,26.33,6.01,11.78,11.05,6,2.13,6.27,12.24,1116.61,5.23,8.23,2.08,6,Public Formation,
Public,3988,C04,B05,23,3989.92,,3979.92,0.36,0.58,1.17,4,0.04,0.58,0.15,34.17,0.03,238.27,0.83,111,48.82,40,6.73,14.95,28.52,24.89,4.27,14.36,12.16,6,2,5.02,10,1074.87,6.09,23.67,3.93,6,Public Formation,
Public,3988,C04,B05,25,3990.08,,3980.08,0.62,0.31,1.37,7.16,0.17,0.52,0.11,22.65,0.03,237.08,0.67,111,105.18,48.84,6.53,31.65,28.19,48.89,6.14,13.62,12.37,6,2.33,12.41,11.55,1148.59,10.1,15.71,3.64,6,Public Formation,
Public,3988,C04,B05,27,3990.25,,3980.25,0.48,0.94,0.56,6.29,0.46,0.74,0.12,24.06,0.04,233.6,0.76,111,120.15,56.31,6.75,43.46,38.02,87.26,5.91,19.17,13.93,6,2.26,8.48,14.88,1128.76,14.07,18.73,6.18,6.54,Public Formation,
Public,3988,C04,B05,29,3990.42,,3980.42,0.48,2.26,0.81,7.8,0.15,0.87,0.15,24.32,0.04,253.26,0.83,111,140.01,63.95,6.25,43.39,32.32,68.93,6.58,21.24,16.18,6,2.63,12.18,18.48,1095.61,9.96,18.12,4.34,6.9,Public Formation,
Public,3988,C04,B05,31,3990.58,,3980.58,0.53,1.28,1.37,10.47,0.28,1.37,0.23,17.37,0.08,221.36,1.28,111,191.08,90.88,3.64,85.99,53.08,124.53,8.34,28.65,25,6,3.32,19.56,25.48,867.31,15.06,52,6.5,27.76,Public Formation,
Public,3988,C04,B05,33,3990.75,,3980.75,0.56,0.47,1.55,9.81,0.29,1.75,0.22,15.69,0.09,170.9,1.73,111,216.29,81.42,7.56,95.73,61.88,131.99,8.95,37.04,19.06,6,3.08,13.8,27.44,831.24,11.96,55.93,8.92,45.25,Public Formation,
Public,3988,C04,B05,35,3990.92,,3980.92,0.4,0.08,1.15,10.03,0.26,1.2,0.18,22.11,0.07,199.67,1.02,292.45,418.58,77.05,5.39,97.33,62.58,133.69,8.36,25.8,17.61,6,2.72,8,26.3,1169.35,7.49,16.94,5.68,39.92,Public Formation,
Public,3988,C04,B05,37,3991.08,,3981.08,0.49,0.52,1.12,9.3,0.23,1.53,0.14,21.91,0.06,190.12,1.27,111,405.63,68.37,4.76,94.47,61.91,148.9,8.53,31.12,21.24,6,2.5,10.84,16.54,1247.66,10.18,12.91,5.23,35.87,Public Formation,
Public,3988,C04,B05,39,3991.25,,3981.25,0.55,0.31,1.21,10.44,0.16,0.91,0.19,22.64,0.06,198.18,0.83,111,436.5,79.34,5.94,70.23,50.5,91.12,8.56,19.48,15.44,6,2.69,14.87,15.14,1059.77,9.07,14,5.19,33.6,Public Formation,
