Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth_corrected,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,Concretion,VolcanicAsh,Chemofacies_train
Public core,4018,C04,B08,71,4023.92,,4013.42,0.34,0.68,0.55,3.65,0.02,0.69,0.09,35.57,0.03,212.16,0.86,111,119.03,40,5.24,29.94,27.76,29.49,6,18.98,25,6,2,5,12.79,992.26,,9.08,5.31,5,7.39,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,73,4024.08,,4013.58,0.39,0.43,0.38,2.55,0.003,0.6,0.07,36.02,0.01,181.8,0.88,111,59.68,40,5.69,19.34,28.04,26.55,6,17.28,25,6,2,5,10,991.63,,9.85,7.84,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,75,4024.25,,4013.75,0.46,1.02,2.59,10.05,0.32,1.37,0.24,22.73,0.1,200.3,1.21,313.06,817.29,44.84,5.46,184.89,87.48,178.28,16.01,41.15,30.17,6,3.51,24.26,21.03,620.49,,16.31,84.53,9.64,219.78,Public Formation,,TRUE,5,TRUE,FALSE,0
Public core,4018,C04,B08,79,4024.58,,4014.08,0.42,0.63,0.34,5.58,0.04,0.46,0.09,33.27,0.01,232.92,0.67,111,120.3,40,6.01,21.84,25.28,23.79,6,11.46,25,6,2,5,14.17,916.92,,5,5,5,10.22,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,83,4024.92,,4014.42,0.4,0.83,0.36,5,0.06,0.41,0.08,33.22,0.01,225.32,0.68,111,133.23,40,6.45,26.32,26.73,26.31,6,13.12,25,6,2,6.01,10,861.55,,7.74,11.15,5,10.51,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,85,4025.08,,4014.58,0.35,0.74,0.5,4.57,0.05,0.51,0.1,34.2,0.02,239.59,0.74,111,116.1,40,6.35,24.35,24.06,38.53,6,11.14,25,6,2,5,10,874.73,,5.17,5,5,14.65,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,87,4025.25,,4014.75,0.38,1.13,0.54,4.34,0.003,0.45,0.09,35.44,0.02,274.09,0.71,111,150.19,40,7.11,26.77,25.24,31.22,6,12.57,25,6,2,5,10,895.36,,6.36,5.61,5.24,16.2,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,105,4026.75,,4016.25,0.37,0.84,0.59,5.24,0.003,0.72,0.1,32.99,0.02,189.2,0.85,111,137.2,40,6.37,31.88,28.72,32.43,6,14.93,25,6,2.03,5,14.43,892.66,,5.11,5,5.14,11.55,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4018,C04,B08,117,4027.75,,4017.25,0.34,0.41,0.37,7.06,0.003,0.35,0.07,31.71,0.02,213.04,0.63,111,120.92,40,6.67,25.3,25.31,32.1,6,9.53,25,6,2,5.02,10,944.67,,8.11,7.58,5,8.93,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4028,C04,B09,7,4028.58,,4018.08,0.47,0.34,0.18,2.46,0.003,0.68,0.06,32.55,0.01,144.57,1,111,42.74,40,4.39,30.88,32.5,81.32,6,24.58,25,6,2,5,12.36,1054.8,,5,5,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4028,C04,B09,17,4029.42,,4018.92,0.32,0.76,0.59,4.01,0.003,1.36,0.08,32.79,0.02,186.92,1.39,111,102.06,40,4.87,45.24,28.61,35.85,6.28,33.24,25,6,2,9.75,10,983.83,,13.74,8.13,5,7.13,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,4028,C04,B09,39,4031.25,,4020.75,0.49,0.29,0.39,3.46,0.003,0.39,0.08,33.09,0.01,190.81,0.71,111,130.74,40,6.03,28.79,23.88,28.27,6,15.81,25,6,2,5,10.69,867.5,,7.74,8.8,5,14.03,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3978,C04,B04,81,3984.75,,3974.25,0.65,0.04,2.2,11.96,0.22,1.08,0.34,17.07,0.1,162.73,0.97,111,527.51,91.79,8.36,97.85,66.36,179.45,13.07,24.52,25,6,3.84,33.8,11.72,711.37,,21.88,92.08,8.08,42.99,Public Formation,,FALSE,3,FALSE,FALSE,1
Public core,4018,C04,B08,61,4023.08,,4012.58,0.57,0.38,5.27,13.57,0.26,1.26,0.31,14.89,0.17,187.8,1.17,922.56,931.6,54.31,4.81,108.92,59.33,131.66,13.22,34.23,25,6,2.69,20.1,10,571.91,,20.62,161.27,9.35,123.9,Public Formation,,FALSE,3,FALSE,FALSE,1
Public core,3978,C04,B04,21,3979.75,,3969.25,0.42,0.39,1.34,9.69,0.36,1.28,0.19,24.6,0.07,175.03,1.03,111,490.38,61.03,4.02,166.44,90.58,263.77,12.37,30.31,25,6,2.84,9.9,23.69,1125.85,,18.15,63.82,8.54,93.34,Public Formation,,FALSE,4,FALSE,FALSE,2
Public core,3978,C04,B04,23,3979.92,,3969.42,0.45,0.4,2.98,8.56,0.33,1.68,0.26,21.08,0.19,179.39,1.49,1523.26,539.56,60.33,4.37,100.44,59.83,106.2,8.66,37.42,25.78,6,2.8,10.22,26.41,956.18,,13.09,73.23,8.48,37.02,Public Formation,,FALSE,4,FALSE,FALSE,2
