Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Cinco Saus,3498,C01,B01,117,3507.75,,3497.25,0.4,0.22,0.66,3.18,0.003,0.55,0.23,35.2,0.03,164.22,0.86,111,62.94,40,5.74,49.59,35.65,84.82,7.23,17.15,14.46,6,2.63,5,27.48,1716.59,2.36,5,3.38,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,119,3507.92,,3497.42,0.47,0.55,0.66,3.14,0.13,0.54,0.26,34.63,0.03,181.74,0.84,111,81.44,40,7.81,47.26,55.57,613.35,9.69,12.41,12.91,6,2.65,5,23.69,1787.83,2.34,5,2.69,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,1,3508.08,,3497.58,0.4,0.88,1.52,4.54,0.31,1.24,0.51,31.14,0.09,154.3,1.35,189.07,290.41,50.44,3.74,137.3,107.45,483.23,11.87,26.04,16.87,6,5.25,46.68,17.16,1171.18,16.42,43.96,8.08,11.23,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,3,3508.25,,3497.75,0.42,0.55,0.65,3.21,0.1,0.45,0.28,34.71,0.04,168.67,0.82,111,52.49,40,6.06,34.18,34.57,59.64,5.29,12.97,12.09,6,2.69,11.01,17.38,1556.36,6.85,5,4.01,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,5,3508.42,,3497.92,0.43,0.3,0.58,3,0.03,0.35,0.26,33.86,0.03,183,0.75,111,30,40,7.33,28.89,27.23,41.44,7.74,10.2,11.99,6,2.51,8.37,15.25,1691.15,6.82,5,3.85,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,7,3508.58,,3498.08,0.37,0.68,0.64,3.15,0.02,0.52,0.27,34.86,0.03,183.94,0.82,111,49.94,40,5.93,35.33,37.31,48.44,7.32,15.75,12.74,6,2.55,8.13,17.08,1656.52,7.8,5,2.97,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,9,3508.75,,3498.25,0.47,0.22,0.54,3.15,0.02,0.46,0.27,34.01,0.03,168.6,0.8,111,35.58,40,6.82,30.9,32.69,48.81,7.48,13.95,12.84,6,2.86,9.81,23.42,1645.88,6.1,5,4.11,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,11,3508.92,,3498.42,0.45,0.18,0.87,3.62,0.05,0.56,0.34,31.99,0.04,164.53,0.89,111,48.68,40,6.86,61.69,44.4,79.01,6.09,16.31,13.35,6,3.07,18.54,10.04,1551.96,11.6,5,5.88,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,13,3509.08,,3498.58,0.49,0.31,1.38,4.49,0.27,1.14,0.52,27.08,0.08,147.15,1.35,111,218.73,42.57,4.07,171.9,75.99,144.7,12.24,26.29,17.44,6,4.5,23.71,37.99,1357.23,6.54,19.03,7.86,49.11,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,15,3509.25,,3498.75,0.41,0.39,0.56,2.96,0.16,0.6,0.24,35.61,0.03,167.37,0.83,111,86.27,40,7.21,51.5,37.13,63.35,5.89,14.47,12.55,6,2.58,5,30.07,1687.97,3.34,5,4.9,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,17,3509.42,,3498.92,0.42,0.5,0.31,2.15,0.003,0.55,0.12,36.34,0.02,161.66,0.87,111,30,40,3.53,26.97,28.76,42.49,4.21,19.88,14.12,6,2,5,18.34,1311.76,1.98,5,3.21,9.87,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,19,3509.58,,3499.08,0.47,0.33,0.25,2.26,0.01,0.41,0.14,33.89,0.02,164.89,0.73,111,30,40,6.97,29.74,33.76,79.23,5.73,14.42,12.46,6,2.31,5,17.2,1733.35,0.92,5,3.16,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,21,3509.75,,3499.25,0.47,0.04,0.58,3.03,0.003,0.52,0.24,34.43,0.03,167.83,0.79,111,53.1,40,6.61,42.09,34.62,52.22,7.18,13.84,12.66,6,2.66,5,29.56,1745.1,3.29,5,4.78,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,23,3509.92,,3499.42,0.49,0.22,0.73,3.21,0.28,0.68,0.33,29.78,0.05,157.76,1.03,111,97.18,40,4.31,89.77,59.03,294.72,9.61,26.73,16.45,6,3.66,16.07,33.23,1656.22,4.97,5,4.95,14.18,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,25,3510.08,,3499.58,0.44,0.61,2,5.58,0.25,0.97,0.64,29.81,0.11,152.82,1.22,467.2,230.2,69.26,2.44,101.3,71.12,315.51,10.63,21.87,15.98,6,4.24,31.85,16.58,1556.26,13.54,12.98,5.61,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,27,3510.25,,3499.75,0.41,0.88,0.41,2.78,0.04,0.39,0.21,36.53,0.02,172.11,0.74,111,42.31,40,6.06,27.13,33.69,38.88,4.85,17.23,13.37,6,2.41,5.88,18.57,1678.08,3.16,5,1.91,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,29,3510.42,,3499.92,0.34,0.49,0.43,2.59,0.003,0.33,0.19,36.69,0.03,190.04,0.73,111,30,40,6.99,23.52,27.09,32.94,5.56,13.33,11.6,6,2.4,5.66,17.39,1887.33,3.16,5,3.65,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,31,3510.58,,3500.08,0.39,0.72,0.23,2.3,0.003,0.48,0.15,37.36,0.01,178.87,0.8,111,30,40,6.25,23.8,31.09,34.74,6.21,13.03,12.12,6,2.31,9.55,10,1833.66,7.64,5,3.46,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,33,3510.75,,3500.25,0.46,0.76,0.37,2.69,0.01,0.41,0.17,35.4,0.02,173.8,0.76,111,30,40,6.84,16.83,28.2,33.18,5.42,12.61,11.19,6,2,5,12.18,1810.57,6.81,5,3.52,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,35,3510.92,,3500.42,0.44,0.25,0.36,2.59,0.003,0.3,0.19,33.85,0.02,165.02,0.79,111,30,40,7.28,16.31,28.63,28.75,5.12,14.52,12.35,6,2.4,5.14,18.01,1851.13,4.93,5,2.9,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,37,3511.08,,3500.58,0.41,0.49,1.37,4.49,0.09,0.7,0.49,32.32,0.08,184.38,1.02,111,56.37,40,6.01,43.63,41.53,62.21,7.82,23.26,18,6,3.44,20.18,21.06,1458.29,11.9,6.63,3.96,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,39,3511.25,,3500.75,0.44,0.65,2.17,5.78,0.31,0.94,0.69,29.73,0.1,173.64,1.11,111,202.11,61.93,6.15,134.27,80.63,174.48,8.48,46.07,24.51,6,4.48,34.97,18.74,1154.16,15.57,39.34,7.8,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,41,3511.42,,3500.92,0.47,0.79,1.65,4.84,0.37,0.71,0.54,30.98,0.08,153.79,1.04,111,86.11,60.56,4.9,95.19,61.85,208.06,8.02,21.87,17.06,6,3.94,21.72,29.58,1485.22,13.99,14.43,6.15,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,43,3511.58,,3501.08,0.36,0.71,0.44,2.84,0.03,0.44,0.24,36.37,0.03,191.05,0.78,111,41,40,6.24,25.76,31.9,41.42,6.3,12.85,12.06,6,2.49,5.27,21.92,1886.34,10.05,5,4.77,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,45,3511.75,,3501.25,0.38,0.5,0.29,2.45,0.003,0.31,0.17,36.15,0.02,172.26,0.75,111,30,40,7.02,21.81,29.14,29.53,4.05,12.75,11.69,6,2.45,8.31,15.26,1834.9,7.65,5,4.15,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,47,3511.92,,3501.42,0.39,0.59,0.2,2.34,0.003,0.26,0.15,36.26,0.02,179.71,0.71,111,30,40,7.87,19.84,29.4,30.09,6.42,14.77,12.34,6,2.14,5,17.7,1822.29,6.09,5,3.71,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,49,3512.08,,3501.58,0.42,1.01,0.28,2.27,0.003,0.38,0.14,36.92,0.02,188.05,0.74,111,30,40,6.82,17.57,28.41,29.96,5.39,10.64,10.64,6,2.35,5,19.85,1754.7,5.22,5,1.9,6,Austin Chalk,AC-C
Cinco Saus,3508,C01,B02,51,3512.25,,3501.75,0.4,0.18,0.1,2.03,0.003,0.35,0.12,37.62,0.01,170.66,0.75,111,30,40,6.64,19.95,26.77,30.59,5.13,11.97,11.33,6,2.17,5,17.68,1574.11,5.12,5,3.15,6,Austin Chalk,AC-C
